player_id,shortName,position,birthDate,height,countryId,meta_status,meta_duels,meta_skills,meta_average,meta_defence,meta_passing,meta_physical,meta_shooting,meta_matchLink,meta_videoLink,meta_jerseyNumber,team_id,team_name
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,Wildcard,81,84,82,80,82,81,85,,,,49,G3X FC
53010,Kelvin Oliveira,forward,1995-08-15,183.0,17.0,Wildcard,87,89,88,84,85,88,89,,,,49,G3X FC
68079,Luiz Galindo,forward,1998-11-07,171.0,17.0,,75,76,74,65,72,77,75,https://youtu.be/gPmmx78lJmA,https://youtu.be/kXem-IZ24hg,5,49,G3X FC
68154,Igor Rezende,goalkeeper,1994-04-06,186.0,17.0,,77,,79,,,,,https://youtu.be/gPmmx78lJmA,https://youtu.be/8VJezskBaJs,309,49,G3X FC
68909,Wembley,defender,1997-08-15,186.0,17.0,,82,75,82,87,83,81,80,https://youtu.be/heRN3LonAGg,https://youtu.be/vwdfH95mvi8,10,49,G3X FC
68985,Victor Sampaio,defender,2001-08-08,187.0,17.0,,70,59,71,80,69,78,66,https://youtu.be/pyrJOtXKH0g,https://youtu.be/lWEdSkqCNDc,37,49,G3X FC
70132,Gabriel Braga,goalkeeper,2004-07-23,185.0,17.0,,86,,79,,,,,https://youtu.be/Yv579-6_SVw,https://youtu.be/BEKNOFaVVV8,323,49,G3X FC
70387,Kenu,midfielder,1999-04-15,180.0,17.0,,78,74,76,73,78,77,75,https://youtu.be/a1O7No9x1H0,https://youtu.be/iPQbLCkK7_Q,178,49,G3X FC
70636,Nikolas Oliveira,forward,2004-09-21,175.0,17.0,,73,67,70,66,77,75,62,https://youtu.be/Yv579-6_SVw,https://youtu.be/L3sGGJaZL5Y,53,49,G3X FC
71124,Matheus Rufino,midfielder,1998-02-06,,17.0,Wildcard,,,,,,,,,,,49,G3X FC
71382,Felipe Cassiano,midfielder,2003-07-05,180.0,17.0,,76,79,77,69,75,80,77,https://youtu.be/W6xuMNGXU34,https://youtu.be/asoazHEVkSo,214,49,G3X FC
